id,cusped,m,l,betti,torsion,volume,hash,cuspedtriangulation
1,m018,1,0,1,"[]",2.02988321282,f1181a539bba48eb5250a8f6e05f9aaf,dLQbcccvvlu_baab
2,m177,1,0,1,"[]",2.568970601,cbf6c4069f7ee4b7b35f11ed762e6f19,evQkbdcddoshih_baab
3,m153,1,0,1,"[2]",2.66674478345,7f8c71adb1d7b6673057814d28ccee90,eLMkbcdddxxfjx_baab
4,m156,1,0,1,"[]",2.828122088,a18cc545b7d53d748b5c6dbec2707ead,eLPkbdcddtpsfe_baab
5,m254,1,0,1,"[]",2.9891202829,ee68e0180584dfec459b3a7206be4fa6,fzMPcbcdeeexxxbpv_baab
6,m325,1,0,1,"[]",3.1485098264,7b58b48c8d0991851e04a910e7e03313,fvPQcccddeeqwwqwn_baab
7,m265,1,0,1,"[]",3.1639632289,44b7372ec5220a430b9f9e00142c64bb,fvPQceceddevwlsre_baab
8,m313,1,0,1,"[4]",3.1772932786,da869fbf217effa4b0e23ab53d2ac10a,fvPQcdceddekqnkqn_baab
9,m311,1,0,1,"[2]",3.2758716439,9641610cb32f8a49e948e59805969be3,fvQPcddcedefgpfdw_baab
10,m347,1,0,1,"[3]",3.31227939226,eee5af1077f7629903f3d0816c03a171,fvPQcceeddeimuhlp_baab
11,m321,1,0,1,"[]",3.3317442316,985a1a057fe00b3018e69f33f75bc1dc,fvPQccecedeirgdsw_baab
12,m396,1,0,1,"[2]",3.39776460536,8f00d5e1ba839f1480cd9a53d2e516bd,fzzQcbdedeeqpendj_baab
13,m394,1,0,1,"[]",3.66386237671,6049a69e2c4b1a0aaddda3883c8dc3ff,fvMQcceddeekfqfol_baab
14,m375,1,0,1,"[2]",3.6638623767,e7cbd8b32c17ed2b52e52c7b3d8d469d,fLLQcbceedergloln_baab
15,m308,1,0,1,"[]",3.82329624097,ff56e803d5e2726677817da9a04b184a,fLwQcbcdeeevvvvgb_baab
16,m414,1,0,1,"[2]",3.8578730729,9e5735e3146cc67adff991b60c5d0076,fvPQccdceeelpslpg_baab
17,m411,1,0,1,"[6]",3.8578730729,6359f48870888693938a06ba25a05203,fvPQccdceeelpulpm_baab
