id,name,cusps,betti,tets,solids,hash,volume,triangulation
1,ncubecld05_00000,1,1,13,5,0e163d46fa81d08124560fe1b18abbcc,8.6124152015,nvLALMvQQkcdfgijjlmlmklmdjwfgbsajrrred_CBbb(1,0)
2,ncubecld05_00001,1,1,12,5,a43f32487943c0752790cc595c45cc06,8.6124152015,mvLLLAPQQcdjghikilikllnkfisxkxnoiiw_eDdC(1,0)
3,ncubecld10_00000,1,1,27,10,f1ae61e40358b89dc430fa9a45cbc39a,17.2248304029,BLLLLLvzLLAvMQPQAQQacfgkjoqmsqrpystryvzuvzyAzAAnkgjtcfodulmdmqfnjbdnnrunfsg_BaaB(1,0)
4,ncubecld10_00001,1,1,20,10,a9f194e9b7bf2ffec18f2c70b1373681,17.224830403,uvLAvLwPAQAzPQccdfihjiompnlnorqststtqjjetsnplbkpkpqljphsj_baab(1,0)
5,ncubecld10_00002,1,2,25,10,182be8faebf320b8027cd0cac06bf901,17.2248304029,zLLvvLLvQQMzPwMQQkcekkjmnprplsqupvtwyxyvwvxykkftflgpqahnnanacvigbvjngl_BaaB(1,0)
6,ncubecld10_00003,1,1,23,10,a2b50e968ea3896de5a433be93612da7,17.224830403,xLLvLAvvAzPMAQQQccdhjgmnlrosrqvstquuwtwvwjxekerguvdexeqbtlqqcfioo_CbBa(1,0)
7,ncubecld10_00004,1,1,27,10,a6a23bf70ab4b8bea8ecb92ea6383b99,17.224830403,BLLLvLzQvLwAAPLPQQQcdfhjiknrsspoousuAzvzywyxAyAhsfvaqpkxxhldtgorlcfnmtxwtxb_BaBb(1,0)
8,ncubecld10_00005,1,2,24,10,0b4d4762d1f892d6a41a2baddc1bb168,17.224830403,yLLLvLwvAPwMQQPPQceghlqmrpmtsrpqqvutvwxwxxkknvatqwbtnaunddllesaguqu_bbbc(1,0)
9,ncubecld10_00006,1,1,27,10,8a9b8eae8bb7b0325ff8c242129c08c7,17.224830403,BLvvLMvvLAALwQQAQQQbghkmrpmppvtyqutzxwzuAvxAzyAxxebbkfafwestcdvaxcrioeseooj_abba(1,0)
10,ncubecld10_00007,1,1,24,10,80fd71e21ba76fb52af17d1d630217b5,17.224830403,yLvvLALvLQPQQvAQQbgihjnlmlssqporqtvuxuwwxxxxfvfhoaoafpshgoollfcufqb_CbdC(1,0)
11,ncubecld10_00008,1,1,24,10,72459625a32c8e394ca6bc4765621d4e,17.2248304029,yLLvLLzwPQwwQPLQQcdgijjknmnmostuqsuvvwwxxxjegvemohogpwoaelekjxjqpgd_CbBb(1,0)
12,ncubecld10_00009,1,1,24,10,716e11938394de2b3906fdbc2b287c04,17.2248304029,yLvLvvwQwzAPQQLQQcfnnklppmptruqtquvwxvwwxxnkganaeamsrrueacwnisivegg_BaaB(1,0)
13,ncubecld10_00010,1,1,26,10,8727d6d058664575d0510c8981f232aa,17.224830403,AvLLLPwvvAPvMMQQQQccdjhhkskrtvqxpuyrtvywwvzzyzpudfguajtuaolplkpcsusrroggg_BaaB(1,0)
14,ncubecld10_00011,1,2,27,10,d0ad36ebafbd2fc87339bc2fadeae7fe,17.2248304029,BLvLvLLLvMPLvQQQQQQcfjilmqpqvsvswuAxuxzvAyzzxyAnkpvabpwwputuqlgfwgoiebejilc_aBba(1,0)
15,ncubecld10_00012,1,2,23,10,062312fddb336726fceef8ee1496b141,17.224830403,xvLvLwvPMAwzQQQQccgkonpnklrorquswttwvuvuwdrwnawwcpwqdrjwkoeksgbtp_baab(1,0)
16,ncubecld10_00013,1,1,24,10,e01ccefb5fb75306ba76103ee994e325,17.224830403,yLLvLMLAwwAzMzQQQcdghiklmnmlrqqrttxvuwwvxxhsgkvtkvtlfugvcsnpvfqoqwu_BaaB(1,0)
17,ncubecld10_00014,1,1,25,10,836946fc5810ee1905bc6c041455896a,17.224830403,zLLvLvvzQLMQzzQQQkcehiqlmromosquvrywtwxyxvwyiiiboiaainsoporjiwhqvomnld_baBb(1,0)
18,ncubecld10_00015,1,1,23,10,836946fc5810ee1905bc6c041455896a,17.2248304029,xvLvAvzAMALLPQQQccigkomkqllppttvrsuwvuvwwtnjvrmmafmogndmeooitmbuo_baab(1,0)
19,ncubecld10_00016,1,2,25,10,50e77fdc6de11bc5bf7ace18ca7b4e58,17.2248304029,zvLLvLLPMMLzPAPQQkefjonnpqmlotsuruvtxtwywyxyqdfknagafddkvwkqisdqixjxmj_aBba(1,0)
20,ncubecld10_00017,1,2,22,10,c701426eea9ef64388ad986ccd3b087f,17.224830403,wLLvPMPvwPMPwQPkcdighghikqporopsusutvvvjxmgpmmifocoinbuawopbts_cBba(1,0)
21,ncubecld10_00018,1,2,27,10,a764aa2b9f9b19a9db2bc95078c1f645,17.224830403,BvLvvLALLwMvAPQQQQQemhjnrotmvtqyxuAzswzuvwyxAzAragrregaruhfmxvvasncvbrlgwwi_bBCb(1,0)
22,ncubecld10_00019,1,2,24,10,20088ed4d51a2cb5d4edd078dbf13eed,17.2248304029,yLLvALwvAvzQPQQPQceffkinjntopvtsrvsutxwxwxkkedatqghjlbgjijrhkdkimas_bBBa(1,0)
23,ncubecld10_00020,1,2,22,10,00ae934c01ded3e5736e6d1a0c95bbd8,17.2248304029,wLLvMvvQAzwwQQQkcdhgkjlomkortuvrsutruvvhsagepaagjaavffihkhjofc_baab(1,0)
24,ncubecld10_00021,1,2,23,10,8fc84414b04ccddaa7f41c04c990fbe4,17.2248304029,xLLLzvwPPvMLAQQQccefehkmokqsrptsurwvtuwvwkkffmacemcealfacfshljuwp_BaaB(1,0)
25,ncubecld10_00022,1,2,23,10,a10a8d2ae8f4870334ee865f0dbf763f,17.224830403,xLLvvALvLQQwQLQQcbejhikolmlpsrqstvtvwuuwwjjxxqmnwfwxklleffahaitxr_baab(1,0)
26,ncubecld10_00023,1,1,23,10,b722ee66127043322e8afc667d697083,17.2248304029,xvLvAvMwvLAPQQQQccighknmousrppwwvsrwtutvvtnjgoubqfagtgaurlvncwhag_bbab(1,0)
27,ncubecld10_00024,1,1,25,10,25bb446ba66e39c3b2bd601fee8887c7,17.224830403,zvLvAwPvzPvMPQQAQkcfighioqosuursvwtuxwxtyywynsaanewstaaxexrnjnsnnujvxt_BbcB(1,0)
28,ncubecld10_00025,1,1,22,10,79ad34fc07086d0a01c33a163fa81609,17.2248304029,wvLvLAwvwAAQQMQkdigkhonpsmspurqtruvutvvhaaagsbvsnsgjalxgogrwkk_DbCb(1,0)
29,ncubecld10_00026,1,2,28,10,daa3109e05e3549d1d1262408ba5d045,17.224830403,CLLvvvMvMwMMwMQPMQQkcdmkqlrnntwotruzsvwvyvBzAyBABhsaahphoppkxroflonsgockxngrnn_baab(1,0)
30,ncubecld10_00027,1,2,24,10,e69907210f1d08f0848be25ed1def927,17.224830403,yLLvvLLvLQMAAPQQQcejkmlktsounqrxxuvwxsvvwwkkqtnxqbatsfahwaoletummee_baab(1,0)
31,ncubecld10_00028,1,2,25,10,4320e986ea71a292799a78c4e8e6ec81,17.2248304029,zLvLvMLvvPMAMQQPQkcfkfinmptsrrvwurqwvyuvxyxywrxwulrgqahxscuxlaapbsntnw_bCbB(1,0)
32,ncubecld10_00029,1,1,25,10,2ed12136010d91f23ff744c7833acbe9,17.224830403,zvLLvAwAvMzAzMQQQkdggkljinstpnswquywvswuxyxyslavddxbhvrmpvxnavvpgbfrci_BcBd(1,0)
33,ncubecld10_00030,1,1,25,10,962d6e763ae3418f1b5720d61fc7d43a,17.2248304029,zLLvvMzvMzMLAMQQQkacghipnmnmutqswtystuxywxyxnkhanapnjdsbrmrvnqwlpjxhgh_baab(1,0)
34,ncubecld10_00031,1,2,23,10,b257e2f6e69187d1bf81040040259356,17.224830403,xLLvLAvzAMvQAQAQccdjhihnkpltoouprvsvuwwuwhseuenkahdadedndsdbqvvem_BaaB(1,0)
35,ncubecld10_00032,1,2,24,10,5a26c28b6a32d480e47db60d29894773,17.224830403,yvLAvLvAzzMAPQAQQedfjkonkqmpnrtwtusuvtxwxxlxalefsxfealcvallxotfelpr_baab(1,0)
36,ncubecld10_00033,1,1,22,10,c584a58ae6290f55cffb7c15d5763f4f,17.224830403,wLLvLMPPzvwQPPQkcdfihjlmjmpoqtruvssvuvuhsnsdukhgfhogfvixficfdg_baab(1,0)
37,ncubecld10_00034,1,1,23,10,0e283595c346f2d6d9a6793358f74983,17.224830403,xLvvLLLQzvMPQQPQccgiijhlpntqsupvqrtwuwuvwhcilvlahhittndnttsjfvcvt_aBbb(1,0)
38,ncubecld10_00035,1,1,23,10,d8444917895ba9324c8802e482ad5ffa,17.2248304029,xLLvvLLLwwMQPQQQccdiknqqrtvsvpvtppqwuswuwhsvaphghcasnvnrvtofcdokv_dCEd(1,0)
39,ncubecld10_00036,1,1,25,10,ae340d40381017dab4493ffb2f02b6fe,17.224830403,zLLvvLLLLMMMAPQQMkcdikmlnqspruovpqtuvtvwxyyyhsvampnxhqfkhgpqhqjxjnvxxa_baab(1,0)
40,ncubecld10_00037,1,2,27,10,00ec1be8259eb04862f213a64f7688b3,17.2248304029,BvLvLzvPwvLQPQQPMQQeigjnqmvounoxtrvstwxyyzzxAAAcaacanmaqajtviiruujhxcashtjl_Baab(1,0)
41,ncubecld10_00038,1,2,26,10,9e2603a961fd2d947ba8268120f4cc0b,17.224830403,ALLvvLLLLLMPAPAQQQccdikponsooqtnwtsrxxzwzxywyzjxvaarmrtnqkfvijjqjmrmtcxtc_BaaB(1,0)
42,ncubecld10_00039,1,1,23,10,84644eb9db2b0c26f7abd6ed67cc758a,17.224830403,xLLLzvLLLLPQAQPQcbeeejnolmrmtusqqrtvvwuwwhhxxxhxltntxvasoshuetttb_BaaB(1,0)
43,ncubecld10_00040,1,1,24,10,f2caa31684371eda4b5e01d157083574,17.2248304029,yvLLvLLvMPwQQAPQQcdkoimstruvmttvqpvwrxwuxxupxccsoasaklwcfwfrxutfrtl_BcaB(1,0)
44,ncubecld10_00041,1,1,24,10,b9a84f20f7e7ed957d7545ac9c497686,17.2248304029,yLLvLLvLALQAzQQMQcdhiokqolqmtspuurtsvwxwxxjxtvftdotxfgwokifqouckbii_baab(1,0)
45,ncubecld10_00042,1,1,22,10,0c7bbf16f3e5b75552cd12e20ed811a7,17.2248304029,wLLvLLLLvMQPQQMkcdgimomqqrspnpotqsutvvvhsgvthbhlsakukjshtxplva_baab(1,0)
46,ncubecld10_00043,1,2,22,10,3d191f4715cd5e127dbee82796b74442,17.2248304029,wvLvvLMMzLQPAQQkeklimjkrosqnqrupusvtvvumgnnlmjamxetfcihlnwtcif_BCBD(1,0)
47,ncubecld10_00044,1,1,23,10,94bbf70d3d86c3506545348b391febd2,17.224830403,xvLLvAzMvQPwzQQQcefhjkjmoqpnorqtutwvutvwwfjbqtrawvphdahvavowobbfl_CbDb(1,0)
48,ncubecld10_00045,1,1,26,10,9cad0660a95b17bff8bdafaabc20ad7c,17.2248304029,AvLvLvvMAvzQMQPQQQceimiorwppvuwquswzzrtuyyvxyzcavpaqvllmmbpxqjgiffvnjixcl_baab(1,0)
49,ncubecld10_00046,1,1,25,10,831c22c77e9ac87478f9cc76c5a7ed69,17.2248304029,zvvLLvLvMwAQPPQQQkhfomprnsqurouptwyvywxuxvwyrrqvadffarrbuubhqvtqpcwcis_BaaB(1,0)
50,ncubecld10_00047,1,1,22,10,448bcac8678352718be685efd89a21fa,17.224830403,wLLvvvMLLPQMQPQkcekkpsnoqrmorutqsuvtvvukkptneagwaktvnhcesnbnna_DcbB(1,0)
51,ncubecld10_00048,1,1,22,10,36048c5ff4c4d4c9e1375a5f240b916c,17.2248304029,wvLvvzLQLMzPQQQkegikholnprsrququvtutvtvcagcdacehimwwewlsbbepxx_BaaB(1,0)
52,ncubecld10_00049,1,2,24,10,66589aa21522f2a691e3588647957444,17.2248304029,yLLLvPvvPLMwQAQQQcdehgkmnoortvvqsrvuxuwxwxhsbvlggwsqsbawovqasmegrao_BaaB(1,0)
53,ncubecld10_00050,1,2,24,10,85ea4b25fba0676820aea8c4a33f314c,17.2248304029,yvLLvPAvvPwPQAQQQegklhimntwsrusvqsvrxtxwvxrknagrakartixtqkvdvolkfls_BaaB(1,0)
54,ncubecld10_00051,1,1,25,10,85cf7c0d833edcf4f052b22da88803fd,17.2248304029,zvLLLvzzLLAwPQQQQkddgkmknlsrwtrpqxyuyvxvxwywrwkpafubnndhtqtttobuiceuua_BaaB(1,0)
55,ncubecld10_00052,1,1,24,10,2b83424673c7d1e671088e8eac1798d9,17.2248304029,yLLvLLvvPQwzAQQQQcdilmroqkqstwrwvvuqtxuvxxjxxcrkwovjlaunoxpawlurfic_CbDc(1,0)
56,ncubecld10_00053,1,2,24,10,121d55f65eae42f326d1e0a19cc5c176,17.2248304029,yvLAPvzzzvPPQLQQQdefghjjkstrqvpuututxwwxwxhhawwmfpaoulrtmsgmmkpxxjr_BaaB(1,0)
57,ncubecld10_00054,1,2,25,10,589352a4b4e16f2103869b634b17d781,17.2248304029,zLvvLMLzvzQPQzPQQkcehijmrptrpnosvvusyxxwxywywwedvlpmumvniariebmjhthhdm_BaaB(1,0)
