id,name,cusps,betti,torsion,tets,solids,hash,volume,triangulation
1,ndode01_00000,2,1,[12],23,1,8ce016152a4d958742e00c3acff546b7,20.580199353899992,xLvvLALwzAAMQLQQcbfkhknnpqmrstossuwutvvwwvacxcaaavaaaxaaaxvxxdtxf_baabbaab
2,ndode01_00001,2,1,[12],23,1,5516f55460a55043431b96d2134257be,20.580199353899992,xLLvPvAwwzLPQPQQccdhgjhilqquoqsrtvrvuwuwwbabgabbaaaahaahggbgbhefb_baabbaab
3,ndode01_00002,3,1,"[2, 8]",23,1,ccdf3f264927b46d4274869fbce5ab08,20.580199353899992,xLvvLLvLLMQQQAPQccemmskropsntuoquutwrvvwwqqfoqfffaaoqqqfqffaocgfg_baabbaabbaab
4,ndode01_00003,1,1,[],23,1,18c19b5d496ae9d89a69cb4e203508c2,20.580199353899992,xLvALLwzQzwMLQMQcbefghjmnmnlpsturvsrvwuwwcccavaaaavxaaacxmxxvvcvm_baab
5,ndode01_00004,1,1,[],23,1,63f8b7bcc1ff8a4f06f5d48b05e88c9f,20.580199353899992,xLvALLwzQzwMvQQQcbefghjmnmnlpstrusrwvvwvwcccavaaaavxaaaxaxxsvcacw_baab
6,ndode01_00005,1,1,[],23,1,18c19b5d496ae9d89a69cb4e203508c2,20.580199353899992,xLvALLwLQzwwAPQQcbefghjolmnlprturvwswuuvwcccavaaaavxaaaaxaagovcac_baab
7,ndode01_00006,3,1,"[2, 8]",23,1,2786f822bd6fabb3668bb36804733d26,20.580199353899992,xLvvLAMzvLPQQwQQccikghlmnrsmsqurputvwtvwwfafaqbeaafcmoqffaoafqffq_baabbaabbaab
8,ndode01_00007,3,1,"[2, 8]",23,1,56ec09c0dca6008f0f81d6878bc370e2,20.580199353899992,xLvvLzMzvQQvQQPQccighmnqsolosnvptqusuwvwwfaaqbeafaqfacnfafqqqaqaa_baabbaabbaab
9,ndode01_00008,4,2,"[2, 2]",23,1,6a0cc8b5a8c0168b941faf0dd49b8282,20.580199353899992,xLvvLALMzPALAMQQcbfkhknoppmmqsurusvtwwvvwvacxcaaavvaaccvcxdlaaagx_baabbaabbaabbBBa
10,ndode01_00009,4,2,"[2, 2]",23,1,9109e77834fbbc2e6d378712d4729905,20.580199353899992,xLvvLvMLMzQQLPQQccihmnlqrpmssspqutwtvuuwwfaqaaaaoaafaqqfaopoloqvt_baabbaabbaabBaab
11,ndode01_00010,4,2,"[2, 2]",23,1,f3655a6e0076a01c4fc937411526b4a2,20.580199353899992,xLvvLPMLAAzPMwQQcbfhkjlonnooptrrtqwuuwvvwvaxxvaaaaaaalcxccdxcxxvv_baabbaabbaabBbab
12,ndode01_00011,3,1,"[2, 2]",23,1,36cd275322b10adea43470681f49e03d,20.580199353899992,xLvvLvMLMLzPQQQQccihjklqpssouuqwwtvrtuwvvfaqqqaaaaqcqtfqqoffoaafa_baabbaabbaab
13,ndode01_00012,3,1,"[4, 4]",23,1,2dfbc84607cfdf0df20f23fc8fd7a163,20.580199353899992,xLvvAPLvwQvMQQQPcbfihiklkmpovuqsvstruvwwwvaxxtaxfaxavcvcaxvcacava_baabbaabbaab
14,ndode01_00013,2,1,[12],23,1,cb9447f12040e96761c8a2e31819ee92,20.580199353899992,xLvvLvQPwMvQzQQQccihkimkllorsrpvstrvwuwvwfaqffafafaoloaapooaqofao_baabbaab
15,ndode01_00014,2,1,[12],23,1,2f02460fcfb412c73aec1fa6b1024375,20.580199353899992,xLvvLvwPMzwAQQQQccihmolplqssnquutvtrvuwwwfaqaaaffaaofqtvqfqaamaoa_baabbaab
16,ndode01_00015,2,2,[2],23,1,8e5edf4354e671e922763229905b463b,20.580199353899992,xLvvLAwLzMwPMQQQcbfgihjjnsrstpvruutuwvwwvvagxtllgxxcaommmmrrfmiwc_baabBbBa
17,ndode01_00016,3,1,"[2, 2, 8]",23,1,81dfc5c74446b2423a251851a2e0e74f,20.580199353899992,xLvvLLAvAQvPPQQQccehgmpkolnvuvuqsrwwtwutvqqfoqqffqafqaonoqekfkqao_baabbaabbaab
18,ndode01_00017,2,2,[2],23,1,c0525f2414224eca39656a2618413151,20.580199353899992,xLLvvvMvwPAQQQPQccdmkqnsustvtoursrqwvvtwwhsaahaahhhasvhmahukbahku_abBabaab
19,ndode01_00018,4,1,"[2, 2, 2, 2]",23,1,d5c862b20333e8fc03e011e0a78cfb88,20.580199353899992,xLvvvAAvMMLzQQQQcbgkjhlknomnuqvwsutstvtwwcidvfefejbbtbnfttsssncxw_baabbaabBaaBBaaB
20,ndode01_00019,4,2,"[2, 2]",23,1,f254eb6ec0f467a9b38460929163a504,20.580199353899992,xLvvLLMAAAzLzQQQccehmjnnkklompstwuuwtsvvwguoavafppkkcakuhkvaldoqn_baabbaabBaaBbaab
21,ndode01_00020,4,2,"[2, 2]",23,1,c56b592d5362717174e5e0068de50d83,20.580199353899992,xLvvAvzzzQwMAQQQccgilhokssqnprrwuuttvtvwwbabavptabgfexuaaoosshtfj_baabbaabbaababBa
22,ndode01_00021,4,2,"[2, 2]",23,1,dc2dcf52f863b6f8dfedd3cd76aa2ab7,20.580199353899992,xLvvLALwzzMPAQQQcbfkhjinmrouvtovqtwuusvwwvaaxavaaavvecvrvcaxvxetx_baabbaabbabBbaab
23,ndode01_00022,4,2,"[2, 2]",23,1,ca9652a54ab6747d8fd9ff6a6ac30a9f,20.580199353899992,xLvvLAwvzMPAPQQQccikghprosrpntuwqutswvvwvfafaqaaaaffaotffqoforfof_baabbaabbaabbaab
24,ndode01_00023,3,1,"[2, 2]",23,1,2ef9c524634a57300dcfbb44871b4c1b,20.580199353899992,xLvvLvwvQzPQQAQQccihlsrlnmtvoqrpputvuwvwwfaqaqqffkafcnfaaoavfaqoq_baabbaabbaab
25,ndode01_00024,2,1,"[2, 2]",23,1,92517743d2a36733c71d9c558cbf27fe,20.580199353899992,xLvLLMvzMzPMQzQQcadfjgjmplqrnotqustwwuvvwpibarfgsbsseonvqfltfulna_baabbaab
26,ndode01_00025,3,1,"[2, 6]",23,1,a850e7356ef4f32f07a4d5482685d804,20.580199353899992,xLvvLMvMMvMQQAQMccihljomporrmttussqtvuvwwfagvvafvaaggvvogtatdcred_baabbaabbaab
27,ndode01_00026,4,2,"[2, 2]",23,1,0d80bff0c4824c4f87f19ae87b914d74,20.580199353899992,xLLvLMvMzMMzQLQQccehgiijnqmnrqsppttwvvwwvfgaqvqfavhuaunoqhbuvvoqf_baabbaabbaBbbaab
28,ndode01_00027,4,2,"[2, 2]",23,1,1ada0829e61d7a499da7217ce6295410,20.580199353899992,xLLvLMLLwzAwQPQQccehgilmnmrmrppuuttvvvwwwfgaqvtnanvhvqoaapnoukuvq_baabbaababBbbaab
29,ndode01_00028,3,1,"[2, 4]",23,1,c405d280bd7e1d2f83285a41a2c70d16,20.580199353899992,xLLvLMvwAzAQLQAQccehgilnpprmrosprutvuuwwwfgaqvvfqalhlkbfffnovkbpn_baabbaabbaab
30,ndode01_00029,3,1,"[2, 4]",23,1,f17c3b5173357ed95542a50241d7971d,20.580199353899992,xLLzvLLAMLzQLAQQcceejijnlkmqosruvuvutwwvwggaghhbathbggaaagadhgbgb_baabbaabbaab
31,ndode01_00030,2,1,"[2, 2]",23,1,3def49231f83aeb0e0bfc48f4ff239d8,20.580199353899992,xLvvLvLLPzAAQQQQccihonrmqntoptvrsqswuvwvwfaqclaqaqakioofqmraovafa_baabbaab
32,ndode01_00031,3,1,"[4, 4]",23,1,019c206fb01ffc42e8c2bbd2f1ca5c37,20.580199353899992,xLvvAPzvPzPPQPPQcbfgigjlommprruqststvuwwwbbicgaabgpbhgphccmdiguba_baabbaabbaab
33,ndode01_00032,3,1,"[2, 4]",23,1,7c985debb48659702e1893a0de5915fc,20.580199353899992,xLLLvvzAALwMQMQQccdejinlkmpuvvrrurswstwvwpraaoqaffqaaoaooofoqaqaq_baabbaabbaab
34,ndode01_00033,4,2,"[2, 2]",23,1,70474e3e234f50bf3c1eaf0b74ab6724,20.580199353899992,xLvvLAAwMLwPAMQQcbggkjilmkrnuqssvsuwuvwwvblgfuchdfagnsabghbjbfeck_baabbaabbabBbaab
35,ndode01_00034,2,1,[4],23,1,d696c1d35f089a375d6d2884e9069f13,20.580199353899992,xLvvLvQLvMMPAQQQccihgnlqopstsrpvtuwwutwvvfaqoqaaafaafafcaqqonooqq_baabbaab
36,ndode01_00035,3,1,"[2, 6]",23,1,cb69129634a07756a4aae68a81d049f0,20.580199353899992,xLvvLMwPwvMwQQQQcciklhlmoorsutwrwsvttwvuvfaffqfaoaaatoaqfqrqoffqf_baabbaabBaaB
37,ndode01_00036,4,2,"[2, 2]",23,1,6186cc4ced822de4e7240e240dfa78b3,20.580199353899992,xLvvLAwvALPwQQQQccikghoporspntqvutrswwvwvfaffqffaafffqoaoqfaanoav_baabbaabbaaBbaab
38,ndode01_00037,3,1,"[2, 2, 4]",22,1,0f61352d2593aebe4abf329a0c4e459a,20.580199353899992,wLLvLMzvwMAPAQQkbdhghjiqorsrssuuvquvttvvbaxaapvxexeccxaaghrwbv_baabbaabbaab
39,ndode01_00038,1,1,[24],24,1,618616687e033a62d41572aaa27c91f3,20.580199353899992,yvLvLvAAwwvQAQQQQchknljnmsqtovutxwruxvwuxwttvevcjfkfufpcfctvgkhbacl_baab
40,ndode01_00039,2,2,"[2, 2]",24,1,b9c4abea5daf1784c798c7506add5a70,20.580199353899992,yLvvvAvzPQAwPAQQQcljmlrrknoqsqswtxxwxuuvvwtichnffflaaoiikmimemnatbf_baabbaab
41,ndode01_00040,1,1,"[2, 2]",25,1,e1024a84a37588be8012bc6740392730,20.580199353899992,zvLvLvzwQQzwMMAQQkeiimonrkrlsqtqvutsuxyxwyxyaawvalxcxxeooxpuqomuookafx_baab
42,ndode01_00041,2,2,[3],25,1,e49a77924238144c7984ca25acd298b3,20.580199353899992,zLvLvMwzMvQwwQQMQkcfhiljjnnsprpqvsttxuywwxyynkgdujpakuxevdgomctfljlngo_baBbbaab
43,ndode01_00042,1,1,[15],25,1,99856aa5c2c80b407cc277dd7ae3f1d0,20.580199353899992,zLvvvAwLzzwQAMQQQkchjkmlkpswvvptqtrusxyvwyxyjgrxmmkaqxrqranvkhoegcoxmk_baab
44,ndode01_00043,2,1,"[2, 6]",25,1,f835f2542cf48f7cfd71de9d4e914a32,20.580199353899992,zLLvLvLzPMvMPQQPQkcdgnlopmknusvtsqwtxvxyyywxjxgueraavfdhfhonebjskexvbe_baabbaab
45,ndode01_00044,1,1,"[2, 10]",24,1,163e77ddec35b6e2fa3ceddb1974c6d3,20.580199353899992,yvLAvvLLvwAQPQQQQecfilruqopsrwvrtswvxtuxxwmmacmawaxxnflofnncidbseev_baab
46,ndode01_00045,2,1,[4],24,1,7d44147322ab4940c06b028618114e2d,20.580199353899992,yLvvvvMLPAQwQMQMQbkoopnmqprkqnuruvsstwxxwxebaxeoxihkbieisigpdtaeccm_baabbaab
47,ndode01_00046,1,1,[],25,1,18d8d62bb3115037037feb001cc8a829,20.580199353899992,zvLLvvALwwwQAQQAQkedlinmqompwuowtvtuxswxyyyxmomuamkeboxwcctdwtnitnehfv_baab
48,ndode01_00047,2,2,[],24,1,7dbe22dd68d0d438b5af5bf6b801c1f3,20.580199353899992,yvLLvMMLvLPMAQAQQdfjghjkpntnorpvuwtwtvuxxxpnuvgouoviblixdkgkjgucqcm_baabbaab
49,ndode01_00048,1,1,"[2, 2]",24,1,640ba4b81b96f9bb308747e725bd0785,20.580199353899992,yvLvMzvvMQzPAAQQQefhjmorossquvqprtutvxwxwxebjnbwhktjfavlfhxiiviqntx_baab
50,ndode01_00049,1,1,"[2, 10]",23,1,9e646709ad38eaadb27337ef217794e2,20.580199353899992,xLLLvLPLMzzQLMQQcceegkjlnkmpssqpvutsuwvwwluirpnaaigmjvcmpajdaagww_baab
51,ndode01_00050,3,2,"[2, 2]",24,1,2efbb23785d22f27c8e416c745208eaa,20.580199353899992,yLvwwvPzLPvAQMQQQbefkkloslnrqruvsqsvvxwwxxccaaccccavvxvacvvvacacxvx_baabbBabbaab
52,ndode01_00051,3,1,"[2, 2, 4]",22,1,848e60c9464abbad97ac527feb506cc0,20.580199353899992,wLwLvLvLAwQPMQQkbbeionqrmstpqutvsrtvuvubugbrbijkhauopvqvunaurh_baabbaabbaab
53,ndode01_00052,3,1,"[2, 48]",23,1,0bd89b3a9a03e2a3e4683158624c14b8,20.580199353899992,xvLLvvLLwMPQAQQQcddmnoltkumsrvorqwvswvuwumigamfoggggimidcxolxmgvg_baabbaabbaab
54,ndode01_00053,2,1,"[2, 4]",24,1,2e981f2b752eadd262d9f351d5e84d7e,20.580199353899992,yLvvvAMvQAvQAPPQQbgjlmjpqkonoppqsvutwvxwxxcijcalnofocxxdngvfformoxl_baabbaab
55,ndode01_00054,2,1,[12],24,1,ed5898cafda215ad9f2ee9c8b7e0b042,20.580199353899992,yvLLvAvzwQzAAQQPQefghmpolkmrrusqtuusvwxxwxgghoaajgagabohuhoobujbbjo_baabbaab
56,ndode01_00055,3,1,"[2, 16]",24,1,aab6c85b25221548bbbcd5feea6be41f,20.580199353899992,yvLLLvwAzzLQPMQQQefhmikjloqorspquutxwxwvwxaooatakaaokuafaqrkootwfaa_baabbaabBaaB
57,ndode01_00056,3,1,"[2, 12]",24,1,5956e8f6e1a12f51b07e916afc04a1e2,20.580199353899992,yvLvAvLQvMMLQMQMQciflkhnlmqrsvqtsvtutwxwxxvpxaavapbvajrgavrauaaeosw_baabbaabbaab
