id,name,cusps,betti,tets,solids,hash,volume,triangulation
1,ododecld01_00000,1,0,15,1,88260e92a7f92124d42c4755696892ed,11.1990647408,pLvLvLAQQMQcgjlimnklmnmkooouqopvlavumilsxsv_bDaB(1,0)
2,ododecld01_00001,1,0,14,1,eeea3f7f5ece0a9b5bc364fcea134a81,11.199064741,oLLvLwPPQQccdgjgiikmnkmnnmhsgrfncuetlfofr_BcBb(1,0)
3,ododecld01_00002,1,0,14,1,53fbd33e1bbf3a88c3aa30afebcbce2d,11.1990647408,ovLLLvQMQQcdgihklhjmlmknnnnaigbsnncfnwuxi_cDbB(1,0)
4,ododecld01_00003,1,0,16,1,8e7da9782e6a5dd012fa7db87b03a24a,11.1990647408,qLLvLLPLQPQkccihkljnknoopmopplnsvuxfiuddnsfjsc_BBBa(1,0)
5,ododecld01_00004,1,0,15,1,7522701dea55dadf36359d769d6855b9,11.1990647408,pvLAPvzAPQQedfghjkjkmonmonoggaxxbdfatgskbbr_bCaB(1,0)
6,ododecld01_00005,1,0,15,1,d309ba85413ec26d4e62ba3b05a799a1,11.199064741,pvLvLAzQQPQcgijjnlmjknnomoojexxjpfacgehathn_bbbc(1,0)
7,ododecld01_00006,1,0,17,1,af1a68cccc0f740ce55d90acf6c6cd4b,11.1990647408,rLvLvMLwMQQQccejhihknqmlopnqopqqmwfvkfheppsscvrws_abba(1,0)
8,ododecld01_00007,1,0,16,1,7522701dea55dadf36359d769d6855b9,11.1990647408,qvvLAvPAPQQkghhmklnmjnolpnpoputmscsbsfrdwhbaef_BcBd(1,0)
9,ododecld02_00000,1,1,30,2,8d513b2eebde4fa53702b62cae58c408,22.3981294816,ELLvPzvPAwvMLLPwQPQQQcdhghojlkmovqsuAtBzCCxzxBBCDDDAhshgflphanrekgohghhtdriniigvkkk_BCaB(1,0)
10,ododecld02_00001,1,0,31,2,4bcc87b4f2330502622bcc7e516a0f0a,22.3981294816,FLvvwvwLwzwPMwMQMQAQQkaghmjustvqvowBAyustDByCzAECDDEBEngkqqwkjlflgauaqfvfptacgcacvbpgu_bDaB(1,0)
11,ododecld02_00002,1,0,31,2,59875549e4229a11c5f033d812f5f477,22.3981294816,FLLvvvLMLzzvMQMQwPQQQkcdkmoltsoyAtzzvrsxvwExDBCCEDABEDhsaidpmhfqxwilsnbiwmatlfssfjbnkr_abba(1,0)
